지점번호,지점명,유입(차로수),유출(차로수),2019년 유입,2019년 유출,2019년 양방,2020년 유입,2020년 유출,2020년 양방,증감(유입),증감(유출),증감(양방),유입(차로수),유출(차로수),2020년 유입,2020년 유출,2020년 양방,2021년 유입,2021년 유출,2021년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2021년 유입,2021년 유출,2021년 양방,2022년 유입,2022년 유출,2022년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2022_유입,2022_유출,2022_양방,2023_유입,2023_유출,2023_양방,증감_유입(%),증감_유출(%),증감_양방(%)
D-01,진흥로(구기터널),2,2,"45,876","22,487","23,389","43,895","21,584","22,311",-4.30%,-4.00%,-4.60%,2,2,"43,895","21,584","22,311","42,541","20,750","21,791",-3.10%,-3.90%,-2.30%,2,2,"42,541","20,750","21,791","41,417","20,463","20,954",-2.60%,-1.40%,-3.80%,2,2,41417,20463,20954,41213,20674,20539,-0.5,1,-2
D-02,평창문화로(북악터널),2,2,"45,747","23,434","22,313","42,455","21,672","20,783",-7.20%,-7.50%,-6.90%,2,2,"42,455","21,672","20,783","41,546","21,536","20,010",-2.10%,-0.60%,-3.70%,2,2,"41,546","21,536","20,010","41,392","21,125","20,267",-0.40%,-1.90%,1.30%,2,2,41392,21125,20267,41115,20768,20347,-0.7,-1.7,0.4
D-03,동호로(금호터널),2,2,"67,523","33,220","34,303","63,672","31,681","31,991",-5.70%,-4.60%,-6.70%,2,2,"63,672","31,681","31,991","61,491","30,556","30,935",-3.40%,-3.60%,-3.30%,2,2,"61,491","30,556","30,935","60,940","30,903","30,037",-0.90%,1.10%,-2.90%,2,2,60940,30903,30037,61995,31261,30734,1.7,1.2,2.3
D-04,서빙고로(한남역),3,4,"90,527","48,168","42,359","86,945","45,522","41,423",-4.00%,-5.50%,-2.20%,3,4,"86,945","45,522","41,423","86,338","45,354","40,984",-0.70%,-0.40%,-1.10%,3,4,"86,338","45,354","40,984","84,932","45,252","39,680",-1.60%,-0.20%,-3.20%,3,4,84932,45252,39680,84799,45084,39715,-0.2,-0.4,0.1
D-05,천호대로(군자교),5,4,"87,339","45,685","41,654","83,631","43,511","40,120",-4.20%,-4.80%,-3.70%,5,4,"83,631","43,511","40,120","81,095","42,093","39,002",-3.00%,-3.30%,-2.80%,5,4,"81,095","42,093","39,002","79,931","41,442","38,489",-1.40%,-1.50%,-1.30%,5,4,79931,41442,38489,79570,40675,38895,-0.5,-1.9,1.1
D-06,뚝섬로(용비교),2,2,"68,858","35,282","33,576","66,376","34,097","32,279",-3.60%,-3.40%,-3.90%,2,2,"66,376","34,097","32,279","65,644","34,001","31,643",-1.10%,-0.30%,-2.00%,2,2,"65,644","34,001","31,643","64,502","33,716","30,786",-1.70%,-0.80%,-2.70%,2,2,64502,33716,30786,63788,33583,30205,-1.1,-0.4,-1.9
D-07,동일로(군자교),3,3,"69,677","33,125","36,552","67,793","31,885","35,908",-2.70%,-3.70%,-1.80%,3,3,"67,793","31,885","35,908","64,612","30,384","34,228",-4.70%,-4.70%,-4.70%,3,3,"64,612","30,384","34,228","63,848","30,055","33,793",-1.20%,-1.10%,-1.30%,3,3,63848,30055,33793,64010,30405,33605,0.3,1.2,-0.6
D-08,화랑로(상월곡역),3,4,"71,331","38,600","32,731","69,489","37,857","31,632",-2.60%,-1.90%,-3.40%,3,4,"69,489","37,857","31,632","67,567","36,719","30,848",-2.80%,-3.00%,-2.50%,3,4,"67,567","36,719","30,848","67,117","35,772","31,345",-0.70%,-2.60%,1.60%,3,4,67117,35772,31345,67943,36265,31678,1.2,1.4,1.1
D-09,동소문로(길음교사거리),3,3,"60,188","30,863","29,325","57,141","29,520","27,621",-5.10%,-4.40%,-5.80%,3,3,"57,141","29,520","27,621","55,686","28,629","27,057",-2.50%,-3.00%,-2.00%,3,3,"55,686","28,629","27,057","55,405","28,626","26,779",-0.50%,0.00%,-1.00%,3,3,55405,28626,26779,56064,29052,27012,1.2,1.5,0.9
D-10,화랑로(화랑대역),5,3,"69,384","34,278","35,106","67,887","33,260","34,627",-2.20%,-3.00%,-1.40%,5,3,"67,887","33,260","34,627","67,211","33,331","33,880",-1.00%,0.20%,-2.20%,5,3,"67,211","33,331","33,880","67,537","33,961","33,576",0.50%,1.90%,-0.90%,5,3,67537,33961,33576,67004,33629,33375,-0.8,-1,-0.6
D-11,도봉로(쌍문역),4,3,"46,769","23,226","23,543","44,897","22,574","22,323",-4.00%,-2.80%,-5.20%,4,3,"44,897","22,574","22,323","43,027","21,437","21,590",-4.20%,-5.00%,-3.30%,4,3,"43,027","21,437","21,590","41,897","20,495","21,402",-2.60%,-4.40%,-0.90%,4,3,41897,20495,21402,42409,20921,21488,1.2,2.1,0.4
D-12,동부간선도로(월계1교),3,3,"121,732","60,131","61,601","117,986","58,243","59,743",-3.10%,-3.10%,-3.00%,3,3,"117,986","58,243","59,743","119,920","61,427","58,493",1.60%,5.50%,-2.10%,3,3,"119,920","61,427","58,493","126,236","63,970","62,266",5.30%,4.10%,6.50%,3,3,126236,63970,62266,123690,63916,59774,-2,-0.1,-4
