지점번호,지점명,차로수,2019년 유입,2019년 유출,2019년 양방,2020년 유입,2020년 유출,2020년 양방,증감(유입),증감(유출),증감(양방),차로수,2020년 유입,2020년 유출,2020년 양방,2021년 유입,2021년 유출,2021년 양방,증감(유입),증감(유출),증감(양방),차로수,2021년 유입,2021년 유출,2021년 양방,2022년 유입,2022년 유출,2022년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2022_유입,2022_유출,2022_양방,2023_유입,2023_유출,2023_양방,증감_유입(%),증감_유출(%),증감_양방(%)
C-01,행주대교,3 3,"107,366","54,776","52,590","107,742","53,013","54,729",0.40%,-3.20%,4.10%,4 4,"53,015","27,858","25,157","50,853","26,976","23,877",-4.10%,-3.20%,-5.10%,3 3,"106,107","51,317","54,790","104,909","51,595","53,314",-1.10%,0.50%,-2.70%,3,3,104909,51595,53314,103134,50967,52167,-1.7,-1.2,-2.2
C-03,가양대교,3 3,"122,041","64,914","57,127","117,800","63,737","54,063",-3.50%,-1.80%,-5.40%,3 4,"80,475","40,278","40,197","85,759","43,277","42,482",6.60%,7.40%,5.70%,3 3,-,-,-,"53,934","23,836","30,098",-,-,-,3,3,53934,23836,30098,62131,27862,34269,15.2,16.9,13.9
C-04,성산대교,3 3,"164,357","76,969","87,388","150,404","72,246","78,158",-8.50%,-6.10%,-10.60%,3 3,"28,508","15,259","13,249","28,456","15,251","13,205",-0.20%,-0.10%,-0.30%,3 3,"116,359","62,998","53,361","113,828","60,085","53,743",-2.20%,-4.60%,0.70%,3,3,113828,60085,53743,111152,59097,52055,-2.4,-1.6,-3.1
C-05,양화대교,4 4,"142,617","73,506","69,111","142,394","74,324","68,070",-0.20%,1.10%,-1.50%,3 3,"31,477","16,313","15,164","31,915","16,736","15,179",1.40%,2.60%,0.10%,3 3,"150,040","75,222","74,818","152,229","75,634","76,595",1.50%,0.50%,2.40%,3,3,152229,75634,76595,145777,72720,73057,-4.2,-3.9,-4.6
C-06,서강대교,3 3,"48,469","21,743","26,726","46,184","21,143","25,041",-4.70%,-2.80%,-6.30%,3 3,"49,302","25,152","24,150","48,402","24,487","23,915",-1.80%,-2.60%,-1.00%,4 4,"131,875","69,791","62,084","120,936","63,203","57,733",-8.30%,-9.40%,-7.00%,4,4,120936,63203,57733,116550,59238,57312,-3.6,-6.3,-0.7
C-07,마포대교,5 5,"118,569","62,631","55,938","103,907","56,661","47,246",-12.40%,-9.50%,-15.50%,3 3,"48,189","23,865","24,324","48,003","23,615","24,388",-0.40%,-1.00%,0.30%,3 3,"43,957","19,475","24,482","41,754","18,548","23,206",-5.00%,-4.80%,-5.20%,3,3,41754,18548,23206,41823,18884,22939,0.2,1.8,-1.2
C-08,원효대교,2 2,"58,536","33,403","25,133","54,803","30,681","24,122",-6.40%,-8.10%,-4.00%,3 3,"118,366","61,611","56,755","118,711","62,548","56,163",0.30%,1.50%,-1.00%,5 5,"110,185","60,463","49,722","117,884","64,131","53,753",7.00%,6.10%,8.10%,5,5,117884,64131,53753,117615,63796,53819,-0.2,-0.5,0.1
C-09,한강대교,4 4,"96,420","49,036","47,384","93,107","46,824","46,283",-3.40%,-4.50%,-2.30%,5 5,"102,900","52,113","50,787","101,911","52,128","49,783",-1.00%,0.00%,-2.00%,2 2,"52,271","30,040","22,231","52,633","29,979","22,654",0.70%,-0.20%,1.90%,2,2,52633,29979,22654,52977,29944,23033,0.7,-0.1,1.7
C-10,동작대교,3 3,"61,915","28,995","32,920","58,610","27,812","30,798",-5.30%,-4.10%,-6.40%,10 8,"86,792","41,856","44,936","100,627","47,426","53,201",15.90%,13.30%,18.40%,4 4,"91,649","45,703","45,946","90,811","44,206","46,605",-0.90%,-3.30%,1.40%,4,4,90811,44206,46605,89871,43866,46005,-1,-0.8,-1.3
C-11,반포대교,3 3,"100,249","58,443","41,806","94,445","54,841","39,604",-5.80%,-6.20%,-5.30%,4 4,"203,850","96,773","107,077","204,401","94,600","109,801",0.30%,-2.20%,2.50%,3 3,"56,332","25,077","31,255","53,054","24,303","28,751",-5.80%,-3.10%,-8.00%,3,3,53054,24303,28751,54111,23961,30150,2,-1.4,4.9
C-12,잠수교,1 1,"22,277","10,107","12,170","22,673","10,481","12,192",1.80%,3.70%,0.20%,5 5,"187,760","92,075","95,685","186,278","89,298","96,980",-0.80%,-3.00%,1.40%,3 3,"88,274","51,377","36,897","93,452","53,705","39,747",5.90%,4.50%,7.70%,3,3,93452,53705,39747,93632,53138,40494,0.2,-1.1,1.9
C-13,한남대교,6 6,"206,762","103,699","103,063","188,992","96,008","92,984",-8.60%,-7.40%,-9.80%,6 5,"61,392","29,025","32,367","59,091","27,799","31,292",-3.70%,-4.20%,-3.30%,1 1,"22,887","10,860","12,027","22,725","10,908","11,817",-0.70%,0.40%,-1.70%,1,1,22725,10908,11817,22110,11232,10878,-2.7,3,-7.9
C-14,동호대교,2 2,"79,357","37,832","41,525","75,111","35,849","39,262",-5.40%,-5.20%,-5.40%,4 4,"43,828","23,899","19,929","44,062","24,332","19,730",0.50%,1.80%,-1.00%,6 6,"181,307","90,575","90,732","190,269","92,933","97,336",4.90%,2.60%,7.30%,6,6,190269,92933,97336,196502,95043,101459,3.3,2.3,4.2
C-15,성수대교,4 4,"137,001","62,315","74,686","128,113","57,918","70,195",-6.50%,-7.10%,-6.00%,3 3,"102,913","48,379","54,534","100,606","46,356","54,250",-2.20%,-4.20%,-0.50%,2 2,"69,740","32,800","36,940","68,294","32,787","35,507",-2.10%,0.00%,-3.90%,2,2,68294,32787,35507,70643,34148,36495,3.4,4.2,2.8
C-16,영동대교,3 3,"131,171","62,425","68,746","125,476","59,094","66,382",-4.30%,-5.30%,-3.40%,4 4,"65,168","30,896","34,272","64,091","30,042","34,049",-1.70%,-2.80%,-0.70%,4 4,"125,260","57,139","68,121","127,918","59,124","68,794",2.10%,3.50%,1.00%,4,4,127918,59124,68794,123546,57226,66320,-3.4,-3.2,-3.6
C-17,청담대교,3 3,"131,521","65,665","65,856","127,696","63,110","64,586",-2.90%,-3.90%,-1.90%,6 7,"129,683","59,828","69,855","150,728","74,468","76,260",16.20%,24.50%,9.20%,3 3,"120,822","57,228","63,594","123,636","58,052","65,584",2.30%,1.40%,3.10%,3,3,123636,58052,65584,121387,55682,65705,-1.8,-4.1,0.2
C-18,잠실대교,4 4,"100,645","44,551","56,094","96,872","42,173","54,699",-3.70%,-5.30%,-2.50%,5 4,"69,901","37,909","31,992","67,905","37,089","30,816",-2.90%,-2.20%,-3.70%,3 3,"124,471","61,432","63,039","124,328","61,780","62,548",-0.10%,0.60%,-0.80%,3,3,124328,61780,62548,123451,61396,62055,-0.7,-0.6,-0.8
C-19,올림픽대교,3 3,"68,804","37,496","31,308","68,782","36,915","31,867",0.00%,-1.50%,1.80%,6 6,"83,294","43,147","40,147","81,200","42,122","39,078",-2.50%,-2.40%,-2.70%,4 4,"95,561","41,164","54,397","94,761","42,239","52,522",-0.80%,2.60%,-3.40%,4,4,94761,42239,52522,93017,42841,50176,-1.8,1.4,-4.5
C-20,천호대교,3 3,"83,221","36,574","46,647","69,362","31,377","37,985",-16.70%,-14.20%,-18.60%,3 2,"11,106","5,416","5,690","10,750","5,464","5,286",-3.20%,0.90%,-7.10%,3 3,"69,034","37,301","31,733","69,633","37,002","32,631",0.90%,-0.80%,2.80%,3,3,69633,37002,32631,72977,37226,35751,4.8,0.6,9.6
C-21,광진교,1 1,"16,630","9,538","7,092","17,336","9,654","7,682",4.20%,1.20%,8.30%,2 2,"28,816","14,698","14,118","25,883","13,223","12,660",-10.20%,-10.00%,-10.30%,3 3,"70,138","30,864","39,274","69,343","30,422","38,921",-1.10%,-1.40%,-0.90%,3,3,69343,30422,38921,67289,29930,37359,-3,-1.6,-4
,,,,,,,,,,,,2 2,"25,238","13,312","11,926","23,969","12,049","11,920",-5.00%,-9.50%,-0.10%,1 1,"16,778","9,532","7,246","15,558","8,894","6,664",-7.30%,-6.70%,-8.00%,1,1,15558,8894,6664,14845,8663,6182,-4.6,-2.6,-7.2
B-22,광명대교(광명시계),4 3,"33,247","19,106","14,141","28,220","17,051","11,169",-15.10%,-10.80%,-21.00%,4 3,"28,220","17,051","11,169","25,772","14,986","10,786",-8.70%,-12.10%,-3.40%,,,,,,,,,,,,,,,,,,,,,
B-23,철산교(광명시계),2 2,"45,454","16,844","28,610","43,356","15,957","27,399",-4.60%,-5.30%,-4.20%,2 2,"43,356","15,957","27,399","38,205","14,849","23,356",-11.90%,-6.90%,-14.80%,,,,,,,,,,,,,,,,,,,,,
B-24,금천교(광명시계),3 4,"60,114","28,329","31,785","58,753","27,944","30,809",-2.30%,-1.40%,-3.10%,3 4,"58,753","27,944","30,809","57,804","27,740","30,064",-1.60%,-0.70%,-2.40%,,,,,,,,,,,,,,,,,,,,,
B-25,금하로(광명시계),3 4,"34,147","21,269","12,878","31,826","17,674","14,152",-6.80%,-16.90%,9.90%,3 4,"31,826","17,674","14,152","33,604","17,935","15,669",5.60%,1.50%,10.70%,,,,,,,,,,,,,,,,,,,,,
B-26,오정로(부천시계),2 2,"26,221","11,421","14,800","23,627","10,442","13,185",-9.90%,-8.60%,-10.90%,2 2,"23,627","10,442","13,185","23,935","10,731","13,204",1.30%,2.80%,0.10%,,,,,,,,,,,,,,,,,,,,,
B-27,화곡로(화곡로입구),3 3,"38,013","20,381","17,632","36,721","19,849","16,872",-3.40%,-2.60%,-4.30%,3 3,"36,721","19,849","16,872","36,339","19,564","16,775",-1.00%,-1.40%,-0.60%,,,,,,,,,,,,,,,,,,,,,
B-28,경인고속국도(신월IC),4 4,"174,995","86,221","88,774","171,474","83,883","87,591",-2.00%,-2.70%,-1.30%,4 4,"171,474","83,883","87,591","178,744","85,912","92,832",4.20%,2.40%,6.00%,,,,,,,,,,,,,,,,,,,,,
B-29,경인로(유한공고),3 3,"36,086","17,796","18,290","33,427","16,326","17,101",-7.40%,-8.30%,-6.50%,3 3,"33,427","16,326","17,101","31,600","15,168","16,432",-5.50%,-7.10%,-3.90%,,,,,,,,,,,,,,,,,,,,,
B-30,신정로(작동터널),3 3,"45,803","23,295","22,508","46,087","22,747","23,340",0.60%,-2.40%,3.70%,3 3,"46,087","22,747","23,340","44,500","21,727","22,773",-3.40%,-4.50%,-2.40%,,,,,,,,,,,,,,,,,,,,,
B-31,김포대로(개화교),4 3,"50,140","28,269","21,871","48,840","27,685","21,155",-2.60%,-2.10%,-3.30%,4 3,"48,840","27,685","21,155","50,588","28,318","22,270",3.60%,2.30%,5.30%,,,,,,,,,,,,,,,,,,,,,
B-32,올림픽대로(개화IC),4 4,"171,330","81,688","89,642","168,550","80,422","88,128",-1.60%,-1.50%,-1.70%,4 4,"168,550","80,422","88,128","173,024","82,578","90,446",2.70%,2.70%,2.60%,,,,,,,,,,,,,,,,,,,,,
B-33,통일로(고양시계),3 3,"51,847","28,033","23,814","49,492","27,076","22,416",-4.50%,-3.40%,-5.90%,3 3,"49,492","27,076","22,416","49,037","26,600","22,437",-0.90%,-1.80%,0.10%,,,,,,,,,,,,,,,,,,,,,
B-34,서오릉로(고양시계),3 3,"39,150","20,222","18,928","40,691","20,896","19,795",3.90%,3.30%,4.60%,3 3,"40,691","20,896","19,795","41,859","21,468","20,391",2.90%,2.70%,3.00%,,,,,,,,,,,,,,,,,,,,,
B-35,수색로(고양시계),4 4,"46,787","24,284","22,503","48,549","24,699","23,850",3.80%,1.70%,6.00%,4 4,"48,549","24,699","23,850","51,741","26,925","24,816",6.60%,9.00%,4.10%,,,,,,,,,,,,,,,,,,,,,
B-36,강변북로(난지한강공원),5 5,"251,873","118,435","133,438","238,049","112,136","125,913",-5.50%,-5.30%,-5.60%,5 5,"238,049","112,136","125,913","236,735","111,394","125,341",-0.60%,-0.70%,-0.50%,,,,,,,,,,,,,,,,,,,,,
B-37,강변북로(구리시계),3 3,"141,287","70,684","70,603","138,429","69,457","68,972",-2.00%,-1.70%,-2.30%,3 3,"138,429","69,457","68,972","138,104","69,078","69,026",-0.20%,-0.50%,0.10%,,,,,,,,,,,,,,,,,,,,,
