지점번호,지점명,차로수,2019년 유입,2019년 유출,2019년 양방,2020년 유입,2020년 유출,2020년 양방,증감(유입),증감(유출),증감(양방),차로수,2020년 유입,2020년 유출,2020년 양방,2021년 유입,2021년 유출,2021년 양방,증감(유입),증감(유출),증감(양방),차로수,2021년 유입,2021년 유출,2021년 양방,2022년 유입,2022년 유출,2022년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2022_유입,2022_유출,2022_양방,2023_유입,2023_유출,2023_양방,증감_유입(%),증감_유출(%),증감_양방(%)
A-01,성산로(금화터널),2 2,70553,37601,32952,64560,34370,30190,-0.085,-0.086,-0.084,2 2,"64,560","34,370","30,190","61,628","32,779","28,849",-4.50%,-4.60%,-4.40%,2 2,"61,628","32,779","28,849","63,125","33,386","29,739",2.40%,1.90%,3.10%,2,2,63125,33386,29739,62719,33010,29709,-0.6,-1.1,-0.1
A-02,사직로(사직터널),3 3,77165,41632,35533,70637,38217,32420,-0.085,-0.082,-0.088,3 3,"70,637","38,217","32,420","68,168","36,646","31,522",-3.50%,-4.10%,-2.80%,3 3,"68,168","36,646","31,522","67,874","36,322","31,552",-0.40%,-0.90%,0.10%,3,3,67874,36322,31552,68989,36733,32256,1.6,1.1,2.2
A-03,자하문로(자하문터널),2 2,32824,17403,15421,30570,15979,14591,-0.069,-0.082,-0.054,2 2,"30,570","15,979","14,591","29,086","15,075","14,011",-4.90%,-5.70%,-4.00%,2 2,"29,086","15,075","14,011","27,352","14,051","13,301",-6.00%,-6.80%,-5.10%,2,2,27352,14051,13301,27428,14408,13020,0.3,2.5,-2.1
A-04,대사관로(삼청터널),1 1,12622,6334,6288,11832,6003,5829,-0.063,-0.052,-0.073,1 1,"11,832","6,003","5,829","11,963","6,180","5,783",1.10%,2.90%,-0.80%,1 1,"11,963","6,180","5,783","10,925","5,645","5,280",-8.70%,-8.70%,-8.70%,1,1,10925,5645,5280,10508,5321,5187,-3.8,-5.7,-1.8
A-05,율곡로(안국역),3 3,58008,28741,29267,55353,26553,28800,-0.046,-0.076,-0.016,3 3,"55,353","26,553","28,800","52,628","25,127","27,501",-4.90%,-5.40%,-4.50%,3 3,"52,628","25,127","27,501","53,866","26,284","27,582",2.40%,4.60%,0.30%,3,3,53866,26284,27582,53806,26228,27578,-0.1,-0.2,0
A-06,창경궁로(서울여자대학교),4 2,41802,25275,16527,39000,23627,15373,-0.067,-0.065,-0.07,4 2,"39,000","23,627","15,373","38,112","23,122","14,990",-2.30%,-2.10%,-2.50%,4 2,"38,112","23,122","14,990","40,487","24,386","16,101",6.20%,5.50%,7.40%,4,2,40487,24386,16101,41506,25239,16267,2.5,3.5,1
A-07,대학로(한국방송통신대학교),2 4,39053,13485,25568,35754,12109,23645,-0.084,-0.102,-0.075,2 4,"35,754","12,109","23,645","33,772","11,682","22,090",-5.50%,-3.50%,-6.60%,2 4,"33,772","11,682","22,090","32,746","11,475","21,271",-3.00%,-1.80%,-3.70%,2,4,32746,11475,21271,35030,11933,23097,7,4,8.6
A-08,종로(동묘앞역),4 4,53583,23888,29695,52449,24107,28342,-0.021,0.009,-0.046,4 4,"52,449","24,107","28,342","50,765","23,406","27,359",-3.20%,-2.90%,-3.50%,4 4,"50,765","23,406","27,359","50,681","23,699","26,982",-0.20%,1.30%,-1.40%,4,4,50681,23699,26982,52146,23995,28151,2.9,1.2,4.3
A-09,퇴계로(신당역),3 2,46455,25321,21134,44075,23926,20149,-0.051,-0.055,-0.047,3 2,"44,075","23,926","20,149","41,021","22,524","18,497",-6.90%,-5.90%,-8.20%,3 2,"41,021","22,524","18,497","41,158","23,191","17,967",0.30%,3.00%,-2.90%,3,2,41158,23191,17967,43085,24484,18601,4.7,5.6,3.5
A-10,동호로(장충체육관),4 4,62588,33274,29314,54133,28721,25412,-0.135,-0.137,-0.133,4 4,"54,133","28,721","25,412","52,273","28,028","24,245",-3.40%,-2.40%,-4.60%,4 4,"52,273","28,028","24,245","53,542","29,238","24,304",2.40%,4.30%,0.20%,4,4,53542,29238,24304,56042,29698,26344,4.7,1.6,8.4
A-11,장충단로(장충단공원),3 3,54119,22827,31292,48378,21512,26866,-0.106,-0.058,-0.141,3 3,"48,378","21,512","26,866","47,768","21,762","26,006",-1.30%,1.20%,-3.20%,3 3,"47,768","21,762","26,006","48,456","21,784","26,672",1.40%,0.10%,2.60%,3,3,48456,21784,26672,49261,22078,27183,1.7,1.3,1.9
A-12,퇴계로(회현역),2 2,32945,20344,12601,29686,18916,10770,-0.099,-0.07,-0.145,2 2,"29,686","18,916","10,770","29,730","18,831","10,899",0.10%,-0.40%,1.20%,2 2,"29,730","18,831","10,899","29,905","18,607","11,298",0.60%,-1.20%,3.70%,2,2,29905,18607,11298,29707,18393,11314,-0.7,-1.2,0.1
A-13,세종대로(서울역),5 5,61168,31472,29696,53936,27045,26891,-0.118,-0.141,-0.094,5 5,"53,936","27,045","26,891","53,578","28,420","25,158",-0.70%,5.10%,-6.40%,5 5,"53,578","28,420","25,158","54,211","28,475","25,736",1.20%,0.20%,2.30%,5,5,54211,28475,25736,55509,29386,26123,2.4,3.2,1.5
A-14,새문안로(서울역사박물관),4 4,48852,20368,28484,45749,19011,26738,-0.064,-0.067,-0.061,4 4,"45,749","19,011","26,738","45,839","19,345","26,494",0.20%,1.80%,-0.90%,4 4,"45,839","19,345","26,494","46,193","19,399","26,794",0.80%,0.30%,1.10%,4,4,46193,19399,26794,47579,19860,27719,3,2.4,3.5
