지점번호,지점명,차로수,2019년 유입,2019년 유출,2019년 양방,2020년 유입,2020년 유출,2020년 양방,증감(유입),증감(유출),증감(양방),차로수,2020년 유입,2020년 유출,2020년 양방,2021년 유입,2021년 유출,2021년 양방,증감(유입),증감(유출),증감(양방),차로수,2021년 유입,2021년 유출,2021년 양방,2022년 유입,2022년 유출,2022년 양방,증감(유입),증감(유출),증감(양방),차로수_유입,차로수_유출,2022_유입,2022_유출,2022_양방,2023_유입,2023_유출,2023_양방,증감_유입(%),증감_유출(%),증감_양방(%)
B-01,도봉로(도봉산역),4 4,"54,493","29,080","25,413","53,015","27,858","25,157",-2.70%,-4.20%,-1.00%,4 4,"53,015","27,858","25,157","50,853","26,976","23,877",-4.10%,-3.20%,-5.10%,2 2,"61,628","32,779","28,849","63,125","33,386","29,739",2.40%,1.90%,3.10%,4,4,49454,26161,23293,49206,25745,23461,-0.5,-1.6,0.7
B-02,동일로(의정부IC),3 4,"82,759","42,325","40,434","80,475","40,278","40,197",-2.80%,-4.80%,-0.60%,3 4,"80,475","40,278","40,197","85,759","43,277","42,482",6.60%,7.40%,5.70%,3 3,"68,168","36,646","31,522","67,874","36,322","31,552",-0.40%,-0.90%,0.10%,3,4,83299,41908,41391,86028,44369,41659,3.3,5.9,0.6
B-03,아차산로(워커힐),3 3,"30,648","16,332","14,316","28,508","15,259","13,249",-7.00%,-6.60%,-7.50%,3 3,"28,508","15,259","13,249","28,456","15,251","13,205",-0.20%,-0.10%,-0.30%,2 2,"29,086","15,075","14,011","27,352","14,051","13,301",-6.00%,-6.80%,-5.10%,3,3,27819,14840,12979,30472,16506,13966,9.5,11.2,7.6
B-04,망우로(망우리공원),3 3,"32,609","16,796","15,813","31,477","16,313","15,164",-3.50%,-2.90%,-4.10%,3 3,"31,477","16,313","15,164","31,915","16,736","15,179",1.40%,2.60%,0.10%,1 1,"11,963","6,180","5,783","10,925","5,645","5,280",-8.70%,-8.70%,-8.70%,3,3,30939,16529,14410,30930,16506,14424,0,-0.1,0.1
B-05,경춘북로(중랑경찰서),3 3,"51,323","26,104","25,219","49,302","25,152","24,150",-3.90%,-3.60%,-4.20%,3 3,"49,302","25,152","24,150","48,402","24,487","23,915",-1.80%,-2.60%,-1.00%,3 3,"52,628","25,127","27,501","53,866","26,284","27,582",2.40%,4.60%,0.30%,3,3,47325,23935,23390,48850,24649,24201,3.2,3,3.5
B-06,화랑로(조선왕릉),3 3,"49,535","24,400","25,135","48,189","23,865","24,324",-2.70%,-2.20%,-3.20%,3 3,"48,189","23,865","24,324","48,003","23,615","24,388",-0.40%,-1.00%,0.30%,4 2,"38,112","23,122","14,990","40,487","24,386","16,101",6.20%,5.50%,7.40%,3,3,47702,23526,24176,47768,23381,24387,0.1,-0.6,0.9
B-07,북부간선도로(신내IC),3 3,"124,234","62,344","61,890","118,366","61,611","56,755",-4.70%,-1.20%,-8.30%,3 3,"118,366","61,611","56,755","118,711","62,548","56,163",0.30%,1.50%,-1.00%,2 4,"33,772","11,682","22,090","32,746","11,475","21,271",-3.00%,-1.80%,-3.70%,3,3,120590,63126,57464,121532,63985,57547,0.8,1.4,0.1
B-08,서하남로(서하남IC),5 5,"105,304","52,180","53,124","102,900","52,113","50,787",-2.30%,-0.10%,-4.40%,5 5,"102,900","52,113","50,787","101,911","52,128","49,783",-1.00%,0.00%,-2.00%,4 4,"50,765","23,406","27,359","50,681","23,699","26,982",-0.20%,1.30%,-1.40%,5,5,101957,51843,50114,103208,51709,51499,1.2,-0.3,2.8
B-09,천호대로(상일IC),6 6,"87,323","41,197","46,126","86,792","41,856","44,936",-0.60%,1.60%,-2.60%,10 8,"86,792","41,856","44,936","100,627","47,426","53,201",15.90%,13.30%,18.40%,3 2,"41,021","22,524","18,497","41,158","23,191","17,967",0.30%,3.00%,-2.90%,10,8,103193,49778,53415,108339,51862,56477,5,4.2,5.7
B-10,올림픽대로(강일IC),4 4,"201,631","96,650","104,981","203,850","96,773","107,077",1.10%,0.10%,2.00%,4 4,"203,850","96,773","107,077","204,401","94,600","109,801",0.30%,-2.20%,2.50%,4 4,"52,273","28,028","24,245","53,542","29,238","24,304",2.40%,4.30%,0.20%,4,4,199620,94140,105480,196876,95303,101573,-1.4,1.2,-3.7
B-11,경부고속도로(양재IC),5 5,"196,830","96,807","100,023","187,760","92,075","95,685",-4.60%,-4.90%,-4.30%,5 5,"187,760","92,075","95,685","186,278","89,298","96,980",-0.80%,-3.00%,1.40%,3 3,"47,768","21,762","26,006","48,456","21,784","26,672",1.40%,0.10%,2.60%,5,5,188060,90148,97912,188800,90901,97899,0.4,0.8,0
B-12,송파대로(복정역),6 5,"63,140","30,308","32,832","61,392","29,025","32,367",-2.80%,-4.20%,-1.40%,6 5,"61,392","29,025","32,367","59,091","27,799","31,292",-3.70%,-4.20%,-3.30%,2 2,"29,730","18,831","10,899","29,905","18,607","11,298",0.60%,-1.20%,3.70%,6,5,58773,27806,30967,58967,27956,31011,0.3,0.5,0.1
B-13,밤고개로(세곡동사거리),4 4,"44,683","23,650","21,033","43,828","23,899","19,929",-1.90%,1.10%,-5.20%,4 4,"43,828","23,899","19,929","44,062","24,332","19,730",0.50%,1.80%,-1.00%,5 5,"53,578","28,420","25,158","54,211","28,475","25,736",1.20%,0.20%,2.30%,4,4,42515,23857,18658,43537,24594,18943,2.4,3.1,1.5
B-14,분당수서로(성남시계),3 3,"111,140","52,445","58,695","102,913","48,379","54,534",-7.40%,-7.80%,-7.10%,3 3,"102,913","48,379","54,534","100,606","46,356","54,250",-2.20%,-4.20%,-0.50%,4 4,"45,839","19,345","26,494","46,193","19,399","26,794",0.80%,0.30%,1.10%,3,3,100172,46641,53531,97168,45391,51777,-3,-2.7,-3.3
