구분,유입(전체),유입(도심),유입(시계),유입(교량),유입(간선도시),유입(고속),유출(전체),유출(도심),유출(시계),유출(교량),유출(간선도시),유출(고속),Year
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2020
월요일,4910,476,1368,914,1476,676,4934,476,1395,922,1456,685,2020
화요일,5018,491,1386,942,1514,685,5041,495,1415,944,1496,691,2020
수요일,5039,491,1391,947,1521,689,5063,495,1422,948,1504,694,2020
목요일,5055,494,1396,948,1526,691,5074,498,1425,949,1506,696,2020
금요일,5163,503,1431,971,1559,699,5175,506,1466,969,1535,699,2020
토요일,4688,410,1315,872,1412,679,4706,416,1342,861,1396,691,2020
일요일,3913,323,1124,704,1152,610,3869,325,1096,697,1130,621,2020
주중평균,5036,491,1394,944,1519,688,5055,493,1424,946,1499,693,2020
주말평균,4239,360,1205,774,1261,639,4221,364,1200,765,1242,650,2020
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2021
월요일,4868,463,1384,897,1452,672,4883,459,1417,903,1425,679,2021
화요일,4925,472,1392,916,1473,672,4941,471,1426,917,1449,678,2021
수요일,4957,472,1403,922,1482,678,4971,472,1438,923,1456,682,2021
목요일,4961,475,1401,922,1484,679,4976,474,1437,924,1458,683,2021
금요일,5081,486,1442,945,1522,686,5094,484,1486,947,1492,685,2021
토요일,4603,403,1314,849,1374,663,4628,407,1351,842,1355,673,2021
일요일,3942,329,1153,703,1148,609,3887,330,1125,698,1120,614,2021
주중평균,4958,474,1404,920,1483,677,4973,472,1441,923,1456,681,2021
주말평균,4225,361,1222,765,1245,632,4203,363,1222,759,1220,639,2021
조사 지점수,139,24,38,21,46,10,139,24,38,21,46,10,2022
월요일,"4,958",467,"1,414",913,"1,489",675,"4,994",459,"1,450",934,"1,470",681,2022
화요일,"5,044",478,"1,430",938,"1,515",683,"5,078",473,"1,466",951,"1,502",686,2022
수요일,"5,056",477,"1,432",942,"1,520",685,"5,087",473,"1,468",954,"1,505",687,2022
목요일,"5,097",482,"1,441",949,"1,533",692,"5,130",477,"1,481",963,"1,518",691,2022
금요일,"5,218",489,"1,482",973,"1,570",704,"5,261",486,"1,533",988,"1,553",701,2022
토요일,"4,809",415,"1,370",892,"1,451",681,"4,844",414,"1,412",893,"1,434",691,2022
일요일,"4,173",350,"1,213",750,"1,243",617,"4,138",350,"1,194",755,"1,218",621,2022
주중평균,"5,076",479,"1,440",943,"1,526",688,"5,112",474,"1,480",959,"1,510",689,2022
주말평균,"4,448",378,"1,281",811,"1,333",645,"4,444",377,"1,289",815,"1,312",651,2022
조사 지점수,4988,473,1429,907,1497,682,5040,471,1470,933,1479,687,2023
월요일,5078,485,1444,933,1530,686,5135,487,1487,953,1519,689,2023
화요일,5090,485,1445,935,1536,689,5144,488,1488,954,1524,690,2023
수요일,5115,489,1449,942,1543,692,5170,491,1494,961,1531,693,2023
목요일,5239,495,1495,966,1581,702,5303,500,1548,986,1567,702,2023
금요일,4840,418,1383,888,1464,687,4881,421,1426,890,1450,694,2023
토요일,4238,362,1232,750,1266,628,4213,364,1218,760,1239,632,2023
일요일,5104,486,1453,937,1538,690,5161,488,1498,958,1525,692,2023
주중평균,4492,385,1296,808,1350,653,4495,388,1307,814,1328,658,2023
주말평균,,,,,,,,,,,,,
