구분,유입(전체),유입(도심),유입(시계),유입(교량),유입(간선도시),유입(고속),유출(전체),유출(도심),유출(시계),유출(교량),유출(간선도시),유출(고속),year
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2020
00~01시,104,9,24,20,33,18,114,11,27,20,36,20,2020
01~02시,78,7,17,15,26,13,85,8,19,15,28,15,2020
02~03시,61,6,13,12,20,10,65,6,15,11,22,11,2020
03~04시,48,4,11,9,16,8,53,5,12,9,18,9,2020
04~05시,52,4,13,9,17,9,54,4,14,9,17,10,2020
05~06시,82,6,23,14,25,14,88,5,27,15,23,18,2020
06~07시,118,9,34,20,34,21,123,8,39,21,31,24,2020
07~08시,139,12,39,24,41,23,137,9,43,24,36,25,2020
08~09시,180,15,53,31,53,28,171,12,51,31,48,29,2020
09~10시,219,19,64,38,65,33,208,15,62,39,59,33,2020
10~11시,240,21,69,43,72,35,233,18,70,43,67,35,2020
11~12시,248,23,69,46,74,36,243,20,74,44,70,35,2020
12~13시,255,24,72,47,76,36,253,22,76,46,74,35,2020
13~14시,259,24,74,48,78,35,258,23,77,47,76,35,2020
14~15시,261,24,76,49,77,35,259,24,76,48,76,35,2020
15~16시,261,23,77,49,77,35,260,24,76,48,77,35,2020
16~17시,261,22,78,49,77,35,261,25,75,49,77,35,2020
17~18시,258,22,77,48,76,35,255,24,72,48,76,35,2020
18~19시,235,19,71,43,69,33,232,22,65,42,70,33,2020
19~20시,209,16,63,38,60,32,203,19,56,36,61,31,2020
20~21시,200,15,60,36,57,32,197,18,52,36,59,32,2020
21~22시,193,14,56,35,55,33,190,16,50,35,56,33,2020
22~23시,160,12,43,30,46,29,161,14,41,29,48,29,2020
23~24시,114,10,28,21,34,21,119,11,29,21,36,22,2020
합계,"4,235",360,"1,204",774,"1,258",639,"4,222",363,"1,198",766,"1,241",654,2020
평균,176,15,50,32,52,27,176,15,50,32,52,27,2020
첨두시간,16시,13시,16시,16시,13시,11시,16시,16시,13시,16시,16시,16시,2020
첨두교통량,261,24,78,49,78,36,261,25,77,49,77,35,2020
첨두비율,6.20%,6.70%,6.50%,6.30%,6.20%,5.60%,6.20%,6.90%,6.40%,6.40%,6.20%,5.40%,2020
조사 지점수,135,24,37,20,45,9,135,24,37,20,45,9,2021
00~01시,74,7,17,14,23,13,80,8,20,13,25,14,2021
01~02시,52,5,12,10,16,9,53,5,13,9,17,9,2021
02~03시,38,3,9,7,12,7,41,4,10,7,13,7,2021
03~04시,35,3,9,6,11,6,36,3,9,6,11,7,2021
04~05시,55,4,16,8,17,10,54,4,15,9,15,11,2021
05~06시,130,9,41,20,37,23,126,7,39,22,31,27,2021
06~07시,240,21,76,37,67,39,214,14,67,43,53,37,2021
07~08시,307,33,90,52,92,40,273,22,83,58,74,36,2021
08~09시,308,35,87,56,92,38,288,26,85,60,82,35,2021
09~10시,294,32,84,52,89,37,269,25,75,55,80,34,2021
10~11시,277,29,78,50,84,36,265,25,75,53,78,34,2021
11~12시,269,29,73,50,81,36,265,26,76,50,78,35,2021
12~13시,261,26,73,48,78,36,260,26,75,48,76,35,2021
13~14시,270,27,77,49,81,36,265,27,75,50,78,35,2021
14~15시,271,27,77,50,81,36,270,28,76,50,81,35,2021
15~16시,272,26,78,51,81,36,278,29,79,52,83,35,2021
16~17시,279,26,81,54,83,35,289,29,85,54,86,35,2021
17~18시,282,25,84,57,84,32,296,31,90,54,88,33,2021
18~19시,274,24,81,57,82,30,290,30,91,51,86,32,2021
19~20시,244,21,71,49,73,30,266,27,82,45,80,32,2021
20~21시,218,18,60,43,65,32,236,23,69,39,72,33,2021
21~22시,212,18,56,42,63,33,225,22,62,39,68,34,2021
22~23시,182,15,45,37,55,30,197,18,54,33,60,32,2021
23~24시,122,11,29,24,37,21,131,12,34,22,40,23,2021
합계,"4,966",474,"1,404",923,"1,484",681,"4,967",471,"1,439",922,"1,455",680,2021
평균,207,20,59,38,62,28,207,20,60,38,61,28,2021
